project,project_name,project_class,location,latitude,longitude,jitter,icon,image_name,image,image_large
ACCACIA,Aerosol Cloud Coupling and Climate Interactions in the Arctic,ship,Arctic Ocean/sub-Arctic Ocean,74.67125,0.7400191,FALSE,icon_information_green,ACCACIA,ACCACIA_resized.png,ACCACIA.png
ACCACIA,Aerosol Cloud Coupling and Climate Interactions in the Arctic,ship,Arctic Ocean/sub-Arctic Ocean,74.777492114,0.7452474625,FALSE,icon_boat,ACCACIA,DSC_0305_resized.jpg,DSC_0305.jpg
ACCACIA,Aerosol Cloud Coupling and Climate Interactions in the Arctic,ship,Arctic Ocean/sub-Arctic Ocean,74.5650342628,0.734871089,FALSE,icon_boat,ACCACIA,DSC_0526_resized.jpg,DSC_0526.jpg
ACCACIA,Aerosol Cloud Coupling and Climate Interactions in the Arctic,ship,Arctic Ocean/sub-Arctic Ocean,74.6722502576,0.3383432911,FALSE,icon_boat,ACCACIA,DSC_0562_group6_resized.jpg,DSC_0562_group6.jpg
ACCACIA,Aerosol Cloud Coupling and Climate Interactions in the Arctic,ship,Arctic Ocean/sub-Arctic Ocean,74.6695061032,1.1416297885,FALSE,icon_boat,ACCACIA,DSC_0576_resized.jpg,DSC_0576.jpg
ACCACIA,Aerosol Cloud Coupling and Climate Interactions in the Arctic,ship,Arctic Ocean/sub-Arctic Ocean,74.7578816829,0.5068023924,FALSE,icon_boat,ACCACIA,DSC_0631_cropsmall_resized.jpg,DSC_0631_cropsmall.jpg
ACCACIA,Aerosol Cloud Coupling and Climate Interactions in the Arctic,ship,Arctic Ocean/sub-Arctic Ocean,74.7562591689,0.9816599858,FALSE,icon_boat,ACCACIA,DSC_0660_resized.jpg,DSC_0660.jpg
ACCACIA,Aerosol Cloud Coupling and Climate Interactions in the Arctic,ship,Arctic Ocean/sub-Arctic Ocean,74.609677756,0.4133576117,FALSE,icon_boat,ACCACIA,DSC_0696_resized.jpg,DSC_0696.jpg
ACCACIA,Aerosol Cloud Coupling and Climate Interactions in the Arctic,ship,Arctic Ocean/sub-Arctic Ocean,74.6074670911,1.060567426,FALSE,icon_boat,ACCACIA,DSC_0813_resized.jpg,DSC_0813.jpg
ACTIVE,The Aerosol and Chemical Transport in Tropical Convection experiment,aircraft,Darwin Northern Territory Australia,-12.45,129.1667,FALSE,icon_information_green,ACTIVE,ACTIVE_resized.png,ACTIVE.png
ACTIVE,The Aerosol and Chemical Transport in Tropical Convection experiment,aircraft,Darwin Northern Territory Australia,-12.45,129.0667,FALSE,icon_aircraft,ACTIVE,ACTIVE_aircraft_1_resized.jpg,ACTIVE_aircraft_1.jpg
ACTIVE,The Aerosol and Chemical Transport in Tropical Convection experiment,aircraft,Darwin Northern Territory Australia,-12.45,129.2667,FALSE,icon_aircraft,ACTIVE,ACtive_storm_2_resized.jpg,ACtive_storm_2.jpg
ACTIVE,The Aerosol and Chemical Transport in Tropical Convection experiment,aircraft,Darwin Northern Territory Australia,-12.3690983,129.10792147,FALSE,icon_aircraft,ACTIVE,ACTIVE_storm_resized.jpg,ACTIVE_storm.jpg
ACTIVE,The Aerosol and Chemical Transport in Tropical Convection experiment,aircraft,Darwin Northern Territory Australia,-12.3690983,129.22547853,FALSE,icon_aircraft,ACTIVE,everyone_resized.jpg,everyone.jpg
ACTIVE,The Aerosol and Chemical Transport in Tropical Convection experiment,aircraft,Darwin Northern Territory Australia,-12.55,129.1667,FALSE,icon_aircraft,ACTIVE,The Plane_resized.jpg,The Plane.jpg
