dd/mm/yyyy hh:mm, ALATGP01, ALONGP01
10/10/2012 08:15,50.89,-1.39
10/10/2012 09:00,50.89,-1.39
10/10/2012 10:00,50.89,-1.39
10/10/2012 11:00,50.80,-1.35
10/10/2012 12:00,50.68,-1.58
10/10/2012 13:00,50.59,-1.83
10/10/2012 14:00,50.52,-2.09
10/10/2012 15:00,50.45,-2.34
10/10/2012 16:00,50.38,-2.59
10/10/2012 17:00,50.30,-2.84
10/10/2012 18:00,50.24,-3.12
10/10/2012 19:00,50.15,-3.41
10/10/2012 20:00,50.08,-3.72
10/10/2012 21:00,50.04,-4.04
10/10/2012 22:00,49.99,-4.35
10/10/2012 23:00,49.93,-4.65
11/10/2012 00:00,49.89,-4.95
11/10/2012 01:00,49.84,-5.24
11/10/2012 02:00,49.79,-5.52
11/10/2012 03:00,49.75,-5.81
11/10/2012 04:00,49.72,-6.11
11/10/2012 05:00,49.71,-6.42
11/10/2012 06:00,49.72,-6.73
11/10/2012 07:00,49.71,-7.04
11/10/2012 08:00,49.69,-7.30
11/10/2012 09:00,49.67,-7.54
11/10/2012 10:00,49.66,-7.77
11/10/2012 11:00,49.64,-7.98
11/10/2012 12:00,49.63,-8.16
11/10/2012 13:00,49.61,-8.34
11/10/2012 14:00,49.60,-8.48
11/10/2012 15:00,49.60,-8.54
11/10/2012 16:00,49.58,-8.72
11/10/2012 17:00,49.55,-8.93
11/10/2012 18:00,49.54,-9.15
11/10/2012 19:00,49.52,-9.39
11/10/2012 20:00,49.51,-9.63
11/10/2012 21:00,49.49,-9.87
11/10/2012 22:00,49.48,-10.11
11/10/2012 23:00,49.45,-10.34
12/10/2012 00:00,49.43,-10.57
12/10/2012 01:00,49.41,-10.80
12/10/2012 02:00,49.40,-11.04
12/10/2012 03:00,49.38,-11.25
12/10/2012 04:00,49.38,-11.29
12/10/2012 05:00,49.38,-11.38
12/10/2012 06:00,49.35,-11.62
12/10/2012 07:00,49.33,-11.86
12/10/2012 08:00,49.31,-12.11
12/10/2012 09:00,49.30,-12.35
12/10/2012 10:00,49.28,-12.59
12/10/2012 11:00,49.27,-12.83
12/10/2012 12:00,49.25,-13.03
12/10/2012 13:00,49.25,-13.06
12/10/2012 14:00,49.25,-13.18
12/10/2012 15:00,49.23,-13.42
12/10/2012 16:00,49.21,-13.65
12/10/2012 17:00,49.19,-13.89
12/10/2012 18:00,49.17,-14.12
12/10/2012 19:00,49.15,-14.36
12/10/2012 20:00,49.14,-14.61
12/10/2012 21:00,49.12,-14.86
12/10/2012 22:00,49.10,-15.11
12/10/2012 23:00,49.08,-15.37
13/10/2012 00:00,49.06,-15.62
13/10/2012 01:00,49.04,-15.88
13/10/2012 02:00,49.03,-16.08
13/10/2012 03:00,49.04,-16.13
13/10/2012 04:00,48.97,-16.29
13/10/2012 05:00,48.93,-16.37
13/10/2012 06:00,48.87,-16.47
13/10/2012 07:00,48.75,-16.64
13/10/2012 08:00,48.61,-16.77
13/10/2012 09:00,48.46,-16.87
13/10/2012 10:00,48.31,-16.97
13/10/2012 11:00,48.16,-17.08
13/10/2012 12:00,48.01,-17.18
13/10/2012 13:00,47.89,-17.26
13/10/2012 14:00,47.87,-17.27
13/10/2012 15:00,47.74,-17.36
13/10/2012 16:00,47.58,-17.47
13/10/2012 17:00,47.42,-17.58
13/10/2012 18:00,47.26,-17.69
13/10/2012 19:00,47.10,-17.79
13/10/2012 20:00,46.95,-17.89
13/10/2012 21:00,46.79,-18.00
13/10/2012 22:00,46.64,-18.10
13/10/2012 23:00,46.49,-18.20
14/10/2012 00:00,46.33,-18.30
14/10/2012 01:00,46.18,-18.40
14/10/2012 02:00,46.07,-18.48
14/10/2012 03:00,46.06,-18.51
14/10/2012 04:00,45.92,-18.58
14/10/2012 05:00,45.88,-18.61
14/10/2012 06:00,45.80,-18.66
14/10/2012 07:00,45.65,-18.76
14/10/2012 08:00,45.50,-18.85
14/10/2012 09:00,45.35,-18.94
14/10/2012 10:00,45.19,-19.05
14/10/2012 11:00,45.04,-19.15
14/10/2012 12:00,44.89,-19.25
14/10/2012 13:00,44.77,-19.32
14/10/2012 14:00,44.77,-19.33
14/10/2012 15:00,44.68,-19.38
14/10/2012 16:00,44.52,-19.48
14/10/2012 17:00,44.37,-19.57
14/10/2012 18:00,44.21,-19.67
14/10/2012 19:00,44.05,-19.77
14/10/2012 20:00,43.89,-19.87
14/10/2012 21:00,43.74,-19.96
14/10/2012 22:00,43.59,-20.06
14/10/2012 23:00,43.44,-20.16
15/10/2012 00:00,43.29,-20.26
15/10/2012 01:00,43.14,-20.35
15/10/2012 02:00,42.99,-20.44
15/10/2012 03:00,42.85,-20.53
15/10/2012 04:00,42.82,-20.57
15/10/2012 05:00,42.82,-20.58
15/10/2012 06:00,42.71,-20.63
15/10/2012 07:00,42.55,-20.71
15/10/2012 08:00,42.40,-20.80
15/10/2012 09:00,42.24,-20.89
15/10/2012 10:00,42.09,-20.99
15/10/2012 11:00,41.94,-21.09
15/10/2012 12:00,41.78,-21.19
15/10/2012 13:00,41.66,-21.26
15/10/2012 14:00,41.64,-21.28
15/10/2012 15:00,41.50,-21.36
