CRUISE	station	depth	long	lat	Salinity	air temp / deg C	sea temp / deg C	rh / %	press / hPa	boat course	boat heading	boat speed / kts	boat speed / ms-1	apparent wind dir (0 deg is the bow)	apparent wind speed ms-1	apparent wind speed / kts	Ice status
RV LANCE	1	3	18.99	69.68		-6.4	2.39	82.03	996.69	237.67	225.69	0	0				0
RV LANCE	2	3	18.99	69.68		-6.47	2.34	82.13	996.7	241.34	225.73	0	0				0
RV LANCE	3	3	18.99	69.68		-6.57	2.23	81.93	996.7	226.02	225.96	0	0				0
RV LANCE	4	3	18.99	69.68		-6.66	2.29	81.71	996.77	226.42	226	0	0				0
RV LANCE	5	3	18.99	69.68		-6.52	2.29	81.87	996.9	209.41	226.08	0	0				0
RV LANCE	6	3	18.99	69.68		-6.34	2.25	81.41	996.81	203.12	226.33	0	0				0
RV LANCE	7	3	18.99	69.68		-6.3	2.26	80.91	996.7	204.88	226.25	0	0				0
RV LANCE	8	3	18.99	69.68		-6.3	2.29	81.22	996.7	213.56	226.42	0	0				0
RV LANCE	9	3	18.99	69.68		-6.29	2.36	82.32	996.7	213.79	226.54	0	0				0
RV LANCE	10	3	18.99	69.68		-6.3	2.42	82.56	996.84	221.6	226.55	0	0				0
RV LANCE	11	3	18.99	69.68		-6.3	2.52	81.89	996.9	194.83	226.75	0	0				0
RV LANCE	12	3	18.99	69.68		-6.31	2.64	82.18	996.9	180.68	226.86	0	0				0
RV LANCE	13	3	18.99	69.68		-6.3	2.8	83.3	996.9	182.4	226.88	0	0				0
RV LANCE	14	3	18.99	69.68		-6.3	2.82	83.24	997.08	187.73	226.92	0	0				0
RV LANCE	15	3	18.99	69.68		-6.34	2.76	82.84	997.24	184.2	226.82	0	0				0
RV LANCE	16	3	18.99	69.68		-6.48	2.68	82.69	997.3	183.7	226.8	0	0				0
RV LANCE	17	3	18.99	69.68		-6.87	2.88	82.63	997.49	172.02	226.71	0	0				0
RV LANCE	18	3	18.99	69.68		-6.82	2.63	83.74	997.5	153.36	226.66	0	0				0
RV LANCE	19	3	18.99	69.68		-6.51	2.77	84.02	997.55	145.19	226.69	0	0				0
RV LANCE	20	3	18.99	69.68		-6.39	3.08	84.27	997.58	132.15	226.53	0	0				0
RV LANCE	21	3	18.99	69.68		-6.26	3.02	83.84	997.5	197.65	226.34	0	0				0
RV LANCE	22	3	18.99	69.68		-6.34	2.88	83.54	997.53	197.36	226.24	0	0				0
RV LANCE	23	3	18.99	69.68		-6.45	2.89	83.31	997.68	191	226.1	0	0				0
RV LANCE	24	3	18.99	69.68		-6.45	2.91	83.76	997.85	204.97	225.92	0	0				0
RV LANCE	25	3	18.99	69.68		-6.89	3.04	83.97	998.14	222.98	225.84	0	0				0
RV LANCE	26	3	18.99	69.68		-7.17	3.13	85.26	998.24	183.71	225.58	0	0				0
RV LANCE	27	3	18.99	69.68		-7.5	2.92	85.33	998.4	188.76	225.46	0	0				0
RV LANCE	28	3	18.99	69.68		-7.51	2.69	84.93	998.47	194.47	225.39	0	0				0
RV LANCE	29	3	18.99	69.68		-7.51	2.69	84.32	998.5	187.24	225.38	0	0				0
RV LANCE	30	3	18.99	69.68		-7.52	2.85	84.42	998.51	180.23	225.28	0	0				0
RV LANCE	31	3	18.99	69.68		-7.47	2.31	84.59	998.7	199.7	225.62	0	0				0
RV LANCE	32	3	18.99	69.68		-7.69	2.55	84.02	998.7	201.68	225.13	0	0				0
RV LANCE	33	3	18.99	69.68		-7.64	2.85	84.59	998.7	210.1	225.28	0	0				0
RV LANCE	34	3	18.99	69.68		-7.51	2.75	84.89	998.7	236.68	225.45	0	0				0
RV LANCE	35	3	18.99	69.68		-7.31	2.67	84.97	998.64	233.35	226.84	0	0				0
RV LANCE	36	3	18.99	69.68		-6.92	2.31	85.06	998.5	219.26	227.76	0	0				0
RV LANCE	37	3	18.99	69.68		-6.79	2.38	83.51	998.5	238.39	226.65	0	0				0
RV LANCE	38	3	18.99	69.68		-6.73	2.2	83.89	998.66	237.24	226.97	0	0				0
RV LANCE	39	3	18.99	69.68		-6.68	2	83.49	998.72	205.84	227	0	0				0
RV LANCE	40	3	18.99	69.68		-6.52	1.98	82.8	998.77	194.81	227.51	0	0				0
RV LANCE	41	3	18.99	69.68		-7.21	2.01	82.15	999.11	231.25	225.51	0	0				0
RV LANCE	42	3	18.99	69.68		-6.88	2	82.48	999.13	219.92	227.35	0	0				0
RV LANCE	43	3	18.99	69.68		-6.67	2	81.51	998.64	224.57	225.37	0	0				0
RV LANCE	44	3	18.99	69.68		-6.22	2.06	81.32	996.98	219.48	226.21	0	0				0
RV LANCE	45	3	18.99	69.68		-5.84	2.1	80.98	991.65	220.64	226.39	0	0	325.24	1.38	2.69	0
RV LANCE	46	3	18.99	69.68		-5.74	2.17	81.47	989.08	212.42	226.36	0	0	278.72	1.77	3.44	0
RV LANCE	47	3	18.99	69.68		-5.82	2.15	80.66	989.35	253.88	225.12	0	0	96.04	1.54	2.99	0
RV LANCE	48	3	18.99	69.68		-5.67	2.34	79.14	986.98	233.63	225.81	0	0	171.22	1.98	3.85	0
RV LANCE	49	3	18.99	69.68		-5.65	2.17	78.34	989.03	247.53	227.17	0	0	327.08	2.36	4.58	0
RV LANCE	50	3	18.99	69.68		-5.76	2.59	78.23	990.34	253.36	227.45	0	0	308.09	2.1	4.09	0
RV LANCE	51	3	18.99	69.68		-5.51	2.7	78.33	989.64	202.5	227.57	0	0	304.68	2.04	3.97	0
RV LANCE	52	3	18.99	69.68		-5.33	2.81	76.97	986.32	180.48	227.53	0	0	318.5	2.47	4.8	0
RV LANCE	53	3	18.99	69.68		-5.32	2.69	76.87	993.65	189.5	227.39	0	0	328.5	3.97	7.72	0
RV LANCE	54	3	18.99	69.68		-5.15	2.49	76.55	994.28	186.74	226.93	0	0	283.71	3.53	6.85	0
RV LANCE	55	3	18.99	69.68		-5.04	2.25	76.36	992.86	171.38	226.94	0	0	249.71	3.39	6.59	0
RV LANCE	56	3	18.99	69.68		-4.86	2.24	75.77	991.33	193.01	225.67	0	0	253.06	4.15	8.07	0
RV LANCE	57	3	18.99	69.68		-4.89	2.33	74.94	993.57	188.68	227.14	0	0	331.33	4.93	9.59	0
RV LANCE	58	3	18.99	69.68		-4.62	2.15	74.6	992.34	182.76	227.32	0	0	334.58	4.54	8.82	0
